Recency,Frequency,Monetary
66,15,-51.739999999999995
2,2,1323.32
73,1,222.16
42,4,2646.99
10,1,300.93
10,2,343.8
43,1,317.76
202,1,488.21000000000004
15,3,3560.3
23,2,12079.99
10,3,2719.01
60,8,2469.36
14,6,1550.83
97,3,321.35
373,1,130.0
268,1,500.24
263,1,917.6999999999999
48,3,1791.15
259,3,774.62
44,3,2179.42
259,2,763.0500000000001
56,3,2246.29
24,2,503.15
16,2,1798.2
197,1,1407.7
57,2,767.98
16,10,5167.44
317,1,-18.38
14,2,1923.4
1,1,258.9
50,1,143.94
80,2,1120.45
37,3,1433.33
99,6,2259.58
226,1,234.75000000000003
17,3,794.15
6,4,2048.64
309,1,931.43
20,3,853.65
49,1,205.25
27,6,1018.55
156,1,591.6600000000001
317,1,63.24
23,4,2791.46
14,5,1437.07
55,6,12033.539999999999
137,1,320.38
44,1,346.9
37,5,1354.15
37,1,241.35
98,5,130.0
10,7,19543.84
291,1,202.56
36,15,3109.91
48,4,1348.37
20,2,503.01
50,3,286.56
29,18,3315.79
22,2,763.08
57,5,1528.82
65,2,903.61
281,2,728.6800000000001
6,1,303.5
0,6,3685.11
8,16,4303.02
1,6,7052.99
16,1,297.29
31,4,6096.04
28,28,7498.19
317,3,1089.18
92,3,768.15
1,1,173.55
367,1,485.31
35,2,293.08000000000004
45,2,768.6
34,5,469.07
98,4,3613.0099999999998
30,7,4292.71
80,4,3413.09
52,2,554.53
62,2,830.09
240,1,454.36
91,1,326.65
317,1,56.73
21,2,0.0
65,7,2900.5099999999998
157,2,3070.54
324,1,211.95
7,81,19197.49
4,26,10727.21
3,25,4849.98
44,1,426.26
9,18,7137.54
34,3,7056.63
34,4,2153.4700000000003
0,8,6626.17
84,32,21893.53
13,14,2496.34
112,8,1806.93
164,1,708.1
66,1,1037.28
365,2,259.79999999999995
13,12,4400.71
38,1,452.0
0,5,604.17
269,2,323.4
255,2,45.34
35,3,5168.650000000001
195,1,393.72
70,12,1666.04
219,1,1126.0
52,2,297.0
28,2,912.5
219,1,539.25
94,14,2706.76
49,2,3065.77
276,1,580.08
65,2,1336.56
99,2,354.35
9,17,2455.48
23,10,6605.64
126,8,835.1800000000001
129,2,386.8
157,2,311.78000000000003
44,7,2066.23
315,2,1773.83
253,6,1149.99
43,1,732.94
13,1,276.5
85,3,5646.400000000001
13,17,8798.25
119,4,423.38
83,1,980.25
135,1,175.78
210,6,1575.68
20,3,896.57
83,1,468.5
317,1,129.23
6,4,6725.18
20,2,1185.18
43,1,249.24
2,8,4278.88
279,1,70.0
317,1,77.52
16,4,556.87
92,2,622.8199999999999
27,5,776.89
16,5,990.5
20,3,1819.0900000000001
211,1,637.2
57,2,1469.04
8,14,7157.5599999999995
3,4,1848.73
34,4,724.08
49,9,2447.49
136,2,-7.9
25,2,886.1
154,6,715.02
13,6,1724.29
139,1,299.02
70,6,1411.99
16,6,1264.14
6,16,2374.75
39,1,104.19999999999999
0,5,1225.45
317,1,21.0
39,1,415.79
9,7,2291.01
23,7,3354.84
48,7,3273.69
17,2,388.1
195,1,140.14
0,22,10967.24
51,8,3334.7400000000002
144,2,2481.06
20,2,1558.22
66,6,2811.77
155,4,738.88
17,5,3454.58
170,2,490.0
27,2,1241.23
373,1,141.0
13,4,2280.91
274,1,249.8
69,2,826.27
20,8,4490.66
65,5,1337.63
44,5,1743.72
2,35,14012.87
69,4,778.95
0,7,1634.99
13,4,251.29999999999998
69,1,97.05000000000001
161,1,1950.98
58,1,261.35
60,4,2338.06
71,1,162.0
8,11,3132.09
259,3,204.0
149,2,1188.16
52,3,239.7
29,1,1248.42
13,6,7575.88
20,2,764.24
241,1,2622.481
224,2,184.6
36,1,619.5
188,4,933.55
43,6,1441.7
190,3,389.3
10,10,16262.87
2,30,16874.17
0,24,11657.59
0,9,4197.51
6,1,89.14
115,2,2138.91
55,1,134.6
272,1,110.95
31,5,809.46
50,2,969.78
163,3,825.02
69,3,801.15
225,1,339.75
